NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,pct leavers from education,longterm care beds,NEET rate,regional GWA,unemployment rate,pop density,life expectancy,crude death rate,compensation of employees per100k,education and training,hospital beds,covid_severity,covid_density_by100k,Covid_Cases
AT11,2048.605922283054,3149.2786208208236,2095.531796383594,1152.3726718200219,1293.9993750764174,86547.84061731581,68999.7147087992,2292.5185778912905,433.7105516988412,3579.0460405656913,61802.90453613009,8.15,136.83,7.775,107.5,4.2,77.8,81.9,1120.95,1462.1174041217785,9.3,587.21,below_than_avg,153.8534690051488,453
AT12,1878.2428410359994,3663.641647771431,1820.3548445128413,1035.987334700084,1261.483345771831,81871.08254115836,70017.16453312292,1968.3106263956204,470.1692763762946,3886.0954219797454,53960.51860520208,7.7,179.09,7.0,108.0,4.2,88.9,81.7,1036.91,1689.20142469781,9.3,671.36,below_than_avg,220.80559904576833,3719
AT13,315.60599298203755,5250.5123768372705,110.40236166871861,845.0228156160216,1535.9009120490837,41839.669609159944,86993.39835735936,10070.735996559213,684.2853487694323,3812.8057321324764,419.6336211294423,10.6,191.88,9.9,108.4,10.6,4808.9,81.1,857.68,2544.225040825328,16.5,751.91,below_than_avg,353.0782637632764,6748
AT21,37.41361463620604,3831.430286855528,1341.5453248125311,1074.4833803378983,1933.9275565524601,78155.97201461624,78039.45532903493,2766.2914021731963,484.9517097131088,3664.0399933724457,39255.78975686495,8.15,98.88,7.9,109.3,4.7,59.9,82.2,1081.98,1799.2385438621184,10.1,803.93,below_than_avg,108.3213223753013,608
AT22,83.03948587727004,4078.19351008308,1720.160944162966,1018.2165364912407,1950.425025774333,75984.01790764566,82089.546251389,4977.154112460335,520.6214723261887,3609.6903469606345,30101.211895105484,5.7,85.65,7.6,109.6,4.4,76.6,82.2,1003.76,1965.9096835272928,11.3,801.3,below_than_avg,184.5321908383779,2300
AT31,28.853657603710445,4588.394522099554,1607.7526422904707,915.3990628600417,1856.498011446179,78807.39109925054,82306.73585281683,2661.984769294877,425.35659430214076,4089.3685007975014,34714.97618902232,7.5,116.7,7.5,109.9,3.9,126.8,82.3,905.04,2155.502426055792,10.6,676.7,below_than_avg,287.2616469801963,4281
AT32,309.808205440447,5345.856986801812,1262.5132071417058,847.2269479414767,1592.9155996490033,68588.49232642681,93972.17098547662,4805.966941852761,579.5025160724199,3751.3654841424755,31946.061137873603,9.6,103.59,8.3,109.6,3.0,78.9,82.8,814.77,2280.2242080191977,10.6,869.23,below_than_avg,276.4993463584105,1544
AT33,151.9203203657703,4802.085175691694,1249.9439043126365,823.2207107917543,2046.5026648751245,66612.37484062226,87885.44336711394,5546.873556360987,587.6188238648213,3836.5490461093354,34186.691727140016,7.8,122.55,6.9,109.1,3.0,60.4,83.0,797.82,2089.663346681907,11.0,665.33,below_than_avg,528.3553800383827,4003
AT34,1518.821705582512,4825.209813188833,700.006798627181,771.0146825167006,1270.0842777969426,64002.27628110057,78488.89179858941,1153.7522127013465,431.0833234711272,4202.30700082339,19585.08230115904,8.15,159.38,7.1,107.4,3.6,156.3,83.3,763.32,2108.581630109357,10.5,529.42,below_than_avg,265.3982610622477,1054
BE10,1446.2580229596424,7083.007183471151,0.0,730.3631625583228,1351.110544367825,46599.1315749033,88581.43610568889,9461.942643399674,389.0910636572598,8226.415032647683,0.0,9.7,437.825,11.3,102.8,12.3,7526.7,81.617,711.34,3556.1206640051532,10.3,706.21,higher_than_avg,754.3135158464693,9228
BE2,407.0188228507133,1305.179917773823,606.1149223415256,940.3065670232211,1411.9585690928081,63378.86475458295,68050.36296854724,3721.0244607437407,295.646712120265,6863.227245649009,9236.17319161531,9.7,437.825,11.3,102.8,12.3,7526.7,81.617,711.34,655.2834347918099,10.3,2688.0199999999995,higher_than_avg,681.2617252133415,45229
BE3,228.52015712263506,2367.4666420405506,449.17161443043045,1022.4118603163708,1371.3941614793812,58056.496718233066,54816.819127279225,4079.2651290097924,326.633007938917,7166.035850124219,18922.310523484382,9.7,437.825,11.3,102.8,12.3,7526.7,81.617,711.34,1188.6190185928087,10.3,2336.1299999999997,higher_than_avg,648.6486191114872,23741
BG31,549.5609692232124,540.9039534056529,5268.094655410852,2074.6899363736115,4234.526345279933,45295.72605907792,67352.76595569361,660.4344942093533,453.0616336861418,3596.0651343048276,128649.45334591305,20.0,1918.75,27.0,115.8,13.0,39.0,73.7,1998.32,206.7493686114396,0.8,792.68,below_than_avg,122.089054970288,889
BG33,223.7071155946241,682.0353130710262,3850.2708488760586,1457.7183820428818,2172.3052969606542,44749.74861331863,77098.08837998853,3429.454950425465,398.6506211683804,3639.8628996507614,88902.22409635948,12.5,2631.13,14.5,110.1,6.1,63.7,75.0,1437.45,268.0095581000573,1.4,536.38,below_than_avg,215.27349789700173,1991
BG34,279.070221605972,665.8090155890695,4561.987667400634,1545.8224906382584,2752.2299741728225,43493.84590597736,76399.41412829614,1268.0216577239862,343.2231731787934,4148.166953906543,82525.88820591438,24.4,1705.24,21.6,109.3,4.6,52.5,74.5,1517.16,274.04930110387994,0.7,670.17,below_than_avg,145.00324670569225,1485
BG41,337.9714075616208,1477.905799661933,2659.1731685655077,1372.2746936865526,2775.1568573147556,55422.05838816575,102216.70709463008,5401.573825599496,445.69442189603967,3734.8753258907677,26475.70024734274,5.2,3452.36,6.5,118.4,3.6,103.7,76.0,1343.42,604.8971951906641,2.7,739.34,below_than_avg,313.332633006408,6562
CY00,1268.1234902956628,2509.769652197904,1863.7282447733967,702.5861340870829,3590.752846528433,78132.55555993492,89879.79346963138,5654.360054278974,424.32193512423913,6584.760220944702,12311.867613358032,11.5,437.825,14.4,121.4,7.6,95.7,81.617,669.03,1116.0320043242998,4.7,311.47,below_than_avg,235.4716471191041,2091
DE1,130.41879414370337,697.0648168984912,604.8433956488392,1005.2075629027222,333.6718398363958,13164.297741743821,16620.026430293074,753.1916726851609,80.58140502288354,1183.4496167247205,12814.500097924452,12.322222222222221,437.825,7.558333333333334,106.01111111111112,4.375,1070.8555555555554,81.617,1263.148888888889,353.96177028591154,7.077777777777778,550.9032110091744,below_than_avg,353.2577312120633,39213
DE2,409.13581735009245,589.5504124091104,1040.5541840571739,1023.3576489951761,282.2067130860519,11133.852942475469,14056.574365388555,637.0203322416536,68.1526300167071,1000.9158297643137,23895.564535883652,12.322222222222221,437.825,7.558333333333334,106.01111111111112,4.375,1070.8555555555554,81.617,1263.148888888889,299.3671500702156,7.077777777777778,550.9032110091744,below_than_avg,412.0920670638962,54086
DE3,660.1188012179346,4215.097679759945,86.66052049180662,946.6980570329781,1451.2639491417203,36213.087864229674,77803.35201803192,2278.4425208630632,243.7627847643137,3579.994343845887,728.7114207392797,10.6,437.825,10.0,115.5,6.1,4322.9,81.617,989.21,2182.2408066949884,10.3,550.9032110091744,below_than_avg,285.10766207084305,10462
DE4,452.19999421069804,2967.5366877183133,902.4966562816106,1269.958717518943,1505.8132918406927,64614.71600896628,64376.75983874018,3315.2573579943023,354.6880636202988,5209.085803717045,52096.18330357394,10.8,437.825,6.4,105.9,3.9,86.7,81.617,1303.24,1451.6658716289708,4.9,550.9032110091744,below_than_avg,148.26164313870572,3739
DE5,338.37246514249813,4958.799298886381,42.57180689428393,1130.9420700467704,2297.262779616032,46521.29617940053,86436.03512614468,12273.487635568192,1313.0985299919646,19284.67183712524,1240.4543732989628,16.0,437.825,9.3,104.0,5.1,1744.5,81.617,1182.98,2697.593371716466,9.4,550.9032110091744,below_than_avg,275.39555080578157,1876
DE6,935.1182539695428,6716.762674089581,102.3140847517909,945.9451412448647,1793.6904149025609,46993.56287417046,97923.94436495705,4526.030989975019,484.22459989378075,7111.509373536483,781.7012612782331,13.2,437.825,8.3,108.1,4.7,2597.5,81.617,989.61,3217.0812552476564,10.0,550.9032110091744,below_than_avg,322.26229974995306,5953
DE7,1120.1511431152276,1230.5336622802367,384.8551545145736,1060.2441444765334,589.0333597678289,40473.4195493696,51728.3177058816,1329.6148147485917,142.25094859282743,2089.152336610442,12275.448149514637,12.322222222222221,437.825,7.6,106.01111111111112,4.0,1070.8555555555554,81.617,1263.148888888889,624.8513236331457,7.077777777777778,550.9032110091744,below_than_avg,223.05695856286815,14026
DE8,7.835148476063621,2904.674225719434,1065.2070904362686,1349.5110494248627,2577.452930034611,61345.8546468027,67644.94091924946,5199.009241945855,556.2242449513576,8168.92395104984,83385.87857509742,11.5,437.825,6.8,106.6,4.6,71.3,81.617,1362.96,1503.9691867240251,5.2,550.9032110091744,below_than_avg,60.81567626658906,978
DE9,78.65034162295674,967.9851840509455,917.3579690172448,1179.1421345655178,463.35633282103515,13699.195657330207,14300.213370483018,1045.926235602787,111.90007626438353,1643.4077108601507,32412.147305697254,12.322222222222221,437.825,6.0,106.01111111111112,4.4,1070.8555555555554,81.617,1263.148888888889,491.53212305521004,7.077777777777778,550.9032110091744,below_than_avg,196.69465903256702,15723
DEA,242.03747198521708,431.1360578393229,334.31359651725467,1150.4789515881039,206.3767359241238,17064.614070334344,21319.556938648053,465.8506363923598,49.83976877688118,731.9660812553313,8151.8470185439855,12.322222222222221,437.825,8.9,106.01111111111112,5.1,1070.8555555555554,81.617,1263.148888888889,218.92610065430804,7.077777777777778,550.9032110091744,below_than_avg,310.5773311645296,55740
DEB,39.00922909018606,1890.0531134008577,901.8288904255915,1163.1687414186413,904.7329379540475,26452.94722420145,25160.63521778606,2042.2380120692462,218.49207097178078,3208.858887177685,17268.36224502632,12.322222222222221,437.825,5.3,106.01111111111112,2.2,1070.8555555555554,81.617,1263.148888888889,959.7479742707903,7.077777777777778,550.9032110091744,below_than_avg,205.81826193732485,8426
DEC,34.75575217831423,3686.597351064509,182.3917023934858,1373.5108477464998,1721.6763418709538,148070.5406664255,186940.1883565866,8471.815237534109,906.3705822729312,13311.308209342496,7895.534139166896,11.7,437.825,7.558333333333334,100.6,4.375,385.5,81.617,1398.5,2012.8758409017448,5.3,550.9032110091744,below_than_avg,307.8366621507832,3038
